puzzle_id,min_diff,max_diff,avg_diff,num_solutions
864,0,8,4.0,2
866,0,4,2.0,2
878,0,4,2.0,2
884,0,4,2.0,2
886,0,8,4.0,4
892,0,8,4.0,2
900,0,4,2.0,2
908,0,20,10.0,4
910,0,6,3.0,2
916,0,4,2.0,2
918,0,4,2.0,2
921,0,4,2.0,2
928,0,6,3.0,2
929,0,4,2.0,2
930,0,6,3.0,2
933,0,4,2.0,2
934,0,4,2.0,2
936,0,4,2.0,2
937,0,52,36.6,10
939,0,10,5.75,8
941,0,38,26.5,16
948,0,4,2.0,2
951,0,28,14.0,2
955,0,8,4.0,2
970,0,4,2.0,2
976,0,4,2.6666666666666665,3
977,0,20,10.0,2
978,0,24,12.0,2
981,0,10,5.0,2
982,0,4,2.0,2
984,0,4,2.0,2
987,0,8,4.0,3
992,0,8,4.0,4
993,0,8,4.0,2
998,0,18,13.5,12
1003,0,52,32.0,6
1004,0,12,6.666666666666667,3
1013,0,16,8.0,4
1015,0,48,36.6,50
1016,0,6,3.0,2
1017,0,16,8.0,4
1021,0,12,6.0,4
1022,0,16,8.444444444444445,9
1023,20,36,31.84,50
1025,0,38,27.2,50
1026,0,4,2.0,2
1027,0,4,2.0,2
1029,0,4,2.0,2
1031,0,42,23.88888888888889,18
1033,0,32,17.6,50
1034,0,18,9.0,2
1035,0,6,3.0,2
1036,0,4,2.0,2
1037,0,4,2.0,2
1039,0,4,2.0,2
1041,0,8,4.0,2
1042,0,4,2.0,2
1043,0,20,8.666666666666666,6
1045,0,8,4.0,4
1046,0,24,9.0,6
1049,0,12,8.666666666666666,6
1053,0,8,4.0,4
1054,0,4,2.0,2
1055,0,4,2.0,2
1057,0,4,2.0,2
1058,0,8,4.0,4
1059,0,4,2.0,2
1064,0,4,2.0,2
1065,0,32,16.0,2
1066,0,10,6.4,5
1070,0,4,2.0,2
1073,0,4,2.0,2
1074,0,4,2.0,2
1079,0,8,4.0,4
1080,0,28,15.96,50
1081,0,20,10.0,7
1082,0,12,6.0,2
1083,0,8,4.0,3
1084,0,4,2.0,2
1085,0,24,17.6,5
1086,0,16,6.666666666666667,3
1087,0,20,10.0,2
1088,0,22,13.666666666666666,12
1090,0,8,4.0,2
1091,0,22,11.0,2
1093,0,8,4.0,4
1095,0,16,8.0,4
1097,0,4,2.0,2
1101,0,4,2.0,2
1102,0,26,19.0,4
1104,0,6,3.0,2
1109,0,4,2.0,2
1111,12,20,16.52,50
1113,0,26,13.272727272727273,11
1117,0,12,6.0,4
1119,0,4,2.0,2
1120,14,28,22.56,50
1124,0,4,2.0,2
1125,0,10,6.4,5
1126,0,6,3.0,2
1128,0,8,4.0,4
1129,0,12,6.0,4
1131,26,38,31.52,50
1133,0,36,26.8,50
1135,0,24,11.666666666666666,12
1137,0,30,11.666666666666666,6
1138,0,4,2.0,2
1139,0,48,13.333333333333334,6
1140,0,4,2.0,2
1142,0,4,2.0,2
1143,0,4,2.0,2
1151,0,4,2.0,2
1153,0,26,13.666666666666666,12
1155,0,28,14.0,4
1157,0,8,4.0,2
1159,0,16,9.636363636363637,11
1161,0,20,10.0,4
1162,0,28,20.84,50
1163,14,28,22.4,50
1164,0,14,6.0,3
1165,6,58,26.96,50
1166,0,4,2.0,2
1167,0,4,2.0,2
1168,12,28,21.76,50
1170,0,36,34.142857142857146,42
1171,0,4,2.0,2
1172,0,6,3.3333333333333335,3
1173,0,12,6.0,2
1175,0,20,10.5,8
1177,0,4,2.0,2
1178,0,24,13.76,25
1182,8,32,17.68,50
1188,0,4,2.0,2
1190,0,28,13.68,50
1192,0,8,4.0,2
1202,0,16,6.666666666666667,3
1210,0,8,4.0,2
1216,0,8,4.0,3
1224,0,10,5.5,4
1228,0,8,4.0,2
1232,0,4,2.0,2
1240,0,8,4.0,2
1246,0,12,6.0,2
1256,0,6,3.3333333333333335,3
1258,0,4,2.0,2
1260,0,16,8.0,2
1270,0,4,2.0,2
1272,0,10,4.666666666666667,3
1277,0,4,2.0,2
1279,0,6,3.0,2
1281,0,4,2.0,2
1284,0,16,8.0,6
1294,0,4,2.0,2
1310,0,30,16.2,20
1316,0,20,11.777777777777779,9
1324,0,12,6.0,2
1330,0,16,8.0,6
